,round,newround.time,choice.time,buttonpress.time,conf.time,reveal.time,choice.location,choice.class,outcome,subject,bad_trial,Safe.Bet.Amount,Risky.Bet.Amount,Risky.bet.shown.number,Risky.bet.hidden.number,Risky.Side
137,138,497.441,498.207,499.00300000000004,499.0350001,499.5499999,Left,Gamble,Win,1,0,10,15,0,6,Left
138,139,500.566,501.332,502.644,502.6749999,503.191,Left,Gamble,Loss,1,0,10,20,8,6,Left
139,140,504.207,504.9720001,505.894,505.9100001,506.441,Left,Gamble,Win,1,0,10,15,1,8,Left
140,141,507.457,508.2220001,509.37800000000004,509.4100001,509.9249999,Left,Safebet,WouldHaveWon,1,0,10,30,7,8,Right
141,142,510.941,511.707,512.503,512.519,513.0350001,Left,Gamble,Win,1,0,10,15,4,7,Left
142,143,514.0499999,514.816,515.8629999,515.878,516.394,Right,Safebet,WouldHaveLost,1,0,10,20,9,4,Left
143,144,517.4100001,518.1749999,519.253,519.269,519.7850001,Right,Safebet,WouldHaveLost,1,0,10,15,7,1,Left
144,145,520.7999999,521.566,522.4879999,522.503,523.019,Left,Gamble,Win,1,0,10,15,6,7,Left
145,146,524.0350001,524.7999999,525.894,525.9100001,526.441,Left,Gamble,Win,1,0,10,30,5,9,Left
146,147,527.457,528.2220001000001,529.2379999,529.253,529.769,Right,Safebet,WouldHaveLost,1,0,10,20,8,2,Left
147,148,530.7850001,531.5499999,532.394,532.4100001,532.9249999,Left,Gamble,Win,1,0,10,15,0,4,Left
148,149,533.941,534.707,535.7379999,535.753,536.269,Left,Gamble,Win,1,0,10,20,1,8,Left
149,150,537.2850001,538.0499999,538.9720001000001,538.9879999,539.519,Right,Gamble,Win,1,0,10,25,1,3,Right
150,151,540.5350001,541.2999999,542.644,542.6600001,543.1749999,Right,Safebet,WouldHaveLost,1,0,10,15,10,1,Left
151,152,544.191,544.957,546.1129999,546.128,546.644,Right,Gamble,Win,1,0,10,25,2,8,Right
152,153,547.6600001,548.4249999,549.332,549.3470001000001,549.8629999,Left,Gamble,Win,1,0,10,20,1,6,Left
153,154,550.878,551.644,553.191,553.207,553.7220001000001,Right,Safebet,WouldHaveWon,1,0,10,30,7,10,Left
154,155,554.7379999,555.503,557.003,557.019,557.5350001,Left,Safebet,WouldHaveWon,1,0,10,20,8,10,Right
155,156,558.5499999,559.316,560.707,560.7220001000001,561.2379999,Left,Safebet,WouldHaveWon,1,0,10,15,4,7,Right
157,158,566.566,567.332,568.3629999,568.378,568.9100001,Right,Gamble,Win,1,0,10,15,1,9,Right
158,159,569.9249999,570.691,572.0499999,572.066,572.582,Right,Safebet,WouldHaveLost,1,0,10,30,7,2,Left
159,160,573.5970001000001,574.3629999,575.769,575.7999999,576.316,Right,Gamble,Win,1,0,10,30,6,9,Right
160,161,577.332,578.0970001000001,579.066,579.082,579.5970001000001,Right,Gamble,Win,1,0,10,20,4,7,Right
161,162,580.6129999,581.378,582.9249999,582.941,583.457,Right,Gamble,Loss,1,0,10,20,4,0,Right
162,163,584.4720001000001,585.2379999,586.691,586.707,587.2220001000001,Left,Safebet,WouldHaveWon,1,0,10,30,9,10,Right
163,164,588.2379999,589.003,590.2220001000001,590.2379999,590.753,Right,Safebet,WouldHaveLost,1,0,10,30,8,0,Left
